species,label,requirement,joint_prob,threshold,pass
Picea mariana,ShadeWetAcidic,"L=low,M=high,R=low",1e-4,0.6,FALSE
Pinus densiflora,ShadeWetAcidic,"L=low,M=high,R=low",5e-5,0.6,FALSE
Pinus ponderosa,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Populus tremuloides,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Prunus pensylvanica,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Quercus alba,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Quercus macrocarpa,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Quercus mongolica,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Ribes divaricatum,ShadeWetAcidic,"L=low,M=high,R=low",0,0.6,FALSE
Sequoia sempervirens,ShadeWetAcidic,"L=low,M=high,R=low",5e-5,0.6,FALSE
Sequoiadendron giganteum,ShadeWetAcidic,"L=low,M=high,R=low",0.0288,0.6,FALSE
Tsuga canadensis,ShadeWetAcidic,"L=low,M=high,R=low",1e-4,0.6,FALSE
Acer saccharum,PartialSunAverage,"L=med,M=med,R=med",0.00505,0.6,FALSE
Agropyron cristatum,PartialSunAverage,"L=med,M=med,R=med",0.05505,0.6,FALSE
Agrostis hyemalis,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Ambrosia tenuifolia,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Betula alleghaniensis,PartialSunAverage,"L=med,M=med,R=med",3e-4,0.6,FALSE
Carex digitata,PartialSunAverage,"L=med,M=med,R=med",0.15025,0.6,FALSE
Cryptomeria japonica,PartialSunAverage,"L=med,M=med,R=med",0.00715,0.6,FALSE
Fraxinus mandshurica,PartialSunAverage,"L=med,M=med,R=med",0.0093,0.6,FALSE
Maackia amurensis,PartialSunAverage,"L=med,M=med,R=med",0.0735,0.6,FALSE
Melia azedarach,PartialSunAverage,"L=med,M=med,R=med",5.5e-4,0.6,FALSE
Picea glauca,PartialSunAverage,"L=med,M=med,R=med",0.0021,0.6,FALSE
Picea mariana,PartialSunAverage,"L=med,M=med,R=med",0.0019,0.6,FALSE
Pinus densiflora,PartialSunAverage,"L=med,M=med,R=med",5.5e-4,0.6,FALSE
Pinus ponderosa,PartialSunAverage,"L=med,M=med,R=med",1e-4,0.6,FALSE
Populus tremuloides,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Prunus pensylvanica,PartialSunAverage,"L=med,M=med,R=med",0.00455,0.6,FALSE
Quercus alba,PartialSunAverage,"L=med,M=med,R=med",0.0469,0.6,FALSE
Quercus macrocarpa,PartialSunAverage,"L=med,M=med,R=med",0.0499,0.6,FALSE
Quercus mongolica,PartialSunAverage,"L=med,M=med,R=med",0.0271,0.6,FALSE
Ribes divaricatum,PartialSunAverage,"L=med,M=med,R=med",0,0.6,FALSE
Sequoia sempervirens,PartialSunAverage,"L=med,M=med,R=med",9e-4,0.6,FALSE
Sequoiadendron giganteum,PartialSunAverage,"L=med,M=med,R=med",0.00805,0.6,FALSE
Tsuga canadensis,PartialSunAverage,"L=med,M=med,R=med",0.0065,0.6,FALSE
Acer saccharum,WarmNeutralFertile,"T=high,R=med,N=high",0.0063,0.6,FALSE
Agropyron cristatum,WarmNeutralFertile,"T=high,R=med,N=high",0.0012,0.6,FALSE
Agrostis hyemalis,WarmNeutralFertile,"T=high,R=med,N=high",0,0.6,FALSE
Ambrosia tenuifolia,WarmNeutralFertile,"T=high,R=med,N=high",0,0.6,FALSE
Betula alleghaniensis,WarmNeutralFertile,"T=high,R=med,N=high",8.5e-4,0.6,FALSE
Carex digitata,WarmNeutralFertile,"T=high,R=med,N=high",2e-4,0.6,FALSE
Cryptomeria japonica,WarmNeutralFertile,"T=high,R=med,N=high",0.10225,0.6,FALSE
Fraxinus mandshurica,WarmNeutralFertile,"T=high,R=med,N=high",0.0022,0.6,FALSE
Maackia amurensis,WarmNeutralFertile,"T=high,R=med,N=high",0.0137,0.6,FALSE
Melia azedarach,WarmNeutralFertile,"T=high,R=med,N=high",0.05015,0.6,FALSE
Picea glauca,WarmNeutralFertile,"T=high,R=med,N=high",0.08655,0.6,FALSE
Picea mariana,WarmNeutralFertile,"T=high,R=med,N=high",0.0455,0.6,FALSE
Pinus densiflora,WarmNeutralFertile,"T=high,R=med,N=high",0.13285,0.6,FALSE
Pinus ponderosa,WarmNeutralFertile,"T=high,R=med,N=high",0.13765,0.6,FALSE
Populus tremuloides,WarmNeutralFertile,"T=high,R=med,N=high",2.5e-4,0.6,FALSE
Prunus pensylvanica,WarmNeutralFertile,"T=high,R=med,N=high",0.00445,0.6,FALSE
Quercus alba,WarmNeutralFertile,"T=high,R=med,N=high",0.011,0.6,FALSE
Quercus macrocarpa,WarmNeutralFertile,"T=high,R=med,N=high",0.01245,0.6,FALSE
Quercus mongolica,WarmNeutralFertile,"T=high,R=med,N=high",0.00715,0.6,FALSE
Ribes divaricatum,WarmNeutralFertile,"T=high,R=med,N=high",0,0.6,FALSE
Sequoia sempervirens,WarmNeutralFertile,"T=high,R=med,N=high",0.15715,0.6,FALSE
Sequoiadendron giganteum,WarmNeutralFertile,"T=high,R=med,N=high",0.0651,0.6,FALSE
Tsuga canadensis,WarmNeutralFertile,"T=high,R=med,N=high",0.1032,0.6,FALSE
Acer saccharum,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Agropyron cristatum,DryPoorSun,"L=high,M=low,N=low",0.0056,0.6,FALSE
Agrostis hyemalis,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Ambrosia tenuifolia,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Betula alleghaniensis,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Carex digitata,DryPoorSun,"L=high,M=low,N=low",2.5e-4,0.6,FALSE
Cryptomeria japonica,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Fraxinus mandshurica,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Maackia amurensis,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Melia azedarach,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Picea glauca,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Picea mariana,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Pinus densiflora,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Pinus ponderosa,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Populus tremuloides,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Prunus pensylvanica,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Quercus alba,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Quercus macrocarpa,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Quercus mongolica,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Ribes divaricatum,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Sequoia sempervirens,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Sequoiadendron giganteum,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
Tsuga canadensis,DryPoorSun,"L=high,M=low,N=low",0,0.6,FALSE
