genus,english_vernacular,chinese_vernacular,kimi_label,success,error
Tetragnatha,silver longjawed orbweaver; silver long-jawed orbweaver; crouching long-jawed spider; stretch spiders; common stretch spider; spike orb spider; green long-jawed orbweaver; shadow stretch spider; elongate stilt spider; blunt stretch spider,上海肖蛸; 中华肖蛸; 丰肖蛸; 亚江琦肖蛸; 任氏肖蛸; 伪华丽肖蛸; 伴侣肖蛸; 前齒肖蛸; 前齒長腳蛛; 前齿肖蛸; 勐宋肖蛸; 华丽肖蛸; 南丹肖蛸; 博氏肖蛸; 卡氏肖蛸; 哈氏肖蛸; 圆尾肖蛸; 塞罗肖蛸; 塞羅肖峭; 大長腳蛛; 射肖蛸; 尖尾肖蛸; 尖尾長腳蛛; 尹氏肖蛸; 弯曲肖蛸; 所安肖蛸; 振荣肖蛸; 斯氏肖蛸; 斯里蘭卡肖峭; 方網長腳蛛; 日本長腳蛛; 永强肖蛸; 江崎長腳蛛; 江琦肖蛸; 洪氏肖蛸; 潔淨肖峭; 爪哇肖蛸; 爪哇長腳蛛; 牧原肖蛸; 直伸肖蛸; 突牙肖蛸; 細長腳蛛; 綠鱗肖蛸 (鱗紋肖蛸  綠鱗長腳蛛); 綠鱗長腳蛛; 线形肖蛸; 绿色肖蛸; 羽斑肖蛸; 羽般肖蛸; 老城肖蛸; 肖蛸属; 肖蛸屬; 脂肖蛸; 臺灣長腳蛛; 艳丽肖蛸; 華麗肖蛸 (華麗長腳蛛); 虾夷肖蛸; 蝦夷肖峭 蝦夷長腳蛛; 贡山肖蛸; 赵丫肖蛸; 赵氏肖蛸; 鋸齒肖峭; 錫蘭長腳蛛; 钝形肖峭; 锡兰长脚蛛; 锥腹肖蛸; 锯齿肖蛸; 長沼氏長腳蛛; 長腳蛛屬; 長螯肖蛸; 长螯肖蛸; 陈氏肖蛸; 雙瘤長腳蛛; 雙突肖蛸  (雙突長腳蛛); 顾氏肖蛸; 鳞纹肖蛸; 黑色肖蛸,Spiders,True,
Tetraloniella,blue sage longhorn bee; hohmann's longhorn; pomona longhorn; davidson's longhorn; lippia longhorn; loosestrife longhorn; fleabane longhorn; dentate longhorn; inula longhorn; dwarf longhorn; southern plains longhorn; lanzarote longhorn; mitsukuri's longhorn,八齿四条蜂; 六齿四条蜂; 四条蜂; 四条蜂亚属; 四条蜂属; 红角四条蜂,Bees,True,
Tetramesa,wheat jointworm; arundo wasp; giant reed gall wasp; barley jointworm,泰广肩小蜂属; 泰廣肩小蜂屬; 竹瘿广肩小蜂,Wasps,True,
Tiphia,spring tiphia; large tiphia,弧丽钩土蜂; 钩土蜂属,Wasps,True,
Trichodes,common checkered beetle; ornate checkered beetle; red-blue checkered beetle; nuttall's shaggy beetle; punctated hairy checkered beetle; bee-eating beetle; cape bee-eating beetle,中华食蜂郭公虫; 华丽食蜂郭公虫; 大卫毛郭公; 毛郭公属; 食蜂郭公虫属,Beetles,True,
Trupanea,star-winged ragwort fly; star-winged fruit fly; marigold fruit fly,天目山星斑實蠅; 斜端星斑實蠅; 星斑实蝇属; 春黄菊星斑实蝇,Flies,True,
Vespula,western yellowjacket; blackjacket; eastern yellowjacket; red-banded yellowjacket; common yellowjacket; german wasp; southern yellowjacket; california yellowjacket; common wasp; boreal yellowjacket; downy yellowjacket; prairie yellowjacket; european wasp; forest yellowjacket; korea yellowjacket; common asiatic yellowjacket; northern red-banded yellowjacket; cuckoo yellowjacket; polka-dot yellowjacket; widow yellowjacket; red wasp; european cuckoo yellowjacket; ground yellowjackets; common european yellowjacket; common european wasp; german yellowjacket; common asian yellowjacket; alaska yellowjacket; cousin yellowjacket; american yellowjacket; taiwan yellowjacket; american cuckoo yellowjacket; european red-banded yellowjacket; shida's yellowjacket; guatemalan yellowjacket; volcano yellowjacket; korean yellowjacket; northeastern yellowjacket,东部黄胡蜂; 北方黃胡蜂; 北方黄胡蜂; 南方黄胡蜂; 南黃胡蜂; 台湾黄胡蜂; 奥地利黄胡蜂; 帶黃胡蜂; 常见黄胡蜂; 德国黄胡蜂; 德國黃胡蜂; 施氏黄胡蜂; 普通黃胡蜂; 朝鮮黃胡蜂; 朝鲜黄胡蜂; 東北黃胡蜂; 树黄胡蜂; 澳黃胡蜂; 澳黄胡蜂; 环黄胡蜂; 環黃胡蜂; 硫黄胡蜂; 細黃胡蜂; 红环黄胡蜂; 细黄胡蜂; 那氏黄胡蜂; 重黃胡蜂; 金氏黄胡蜂; 鏽腹黃胡蜂; 锈腹黄胡蜂; 锈黄胡蜂; 阿里山黃胡蜂; 阿里山黄胡蜂; 額斑黃胡蜂; 额斑黄胡蜂; 高原黃胡蜂; 鳞黄胡蜂; 黃胡蜂屬; 黄胡蜂属,Wasps,True,
Xanthia,pink-barred sallow moth; the sallow; pink-barred sallow; dusky-lemon sallow; pale-lemon sallow; pink-banded sallow moth; pink-banded sallow,淡黄美冬夜蛾; 白点美冬夜蛾; 美冬夜蛾属; 齿美冬夜蛾,Moths,True,
Ypthima,common five-ring; common three-ring; african ringlet; granular ringlet; common fivering; common five ring; dusky knight; common ringlet; impure ringlet; common four-ring; himalayan five-ring; malayan five-ring; malayan six-ring; common three ring; straight five-ring; small three-ring; common fijian ringlet; bordered fijian ringlet; ring butterflies; sahyadri baby five-ring; jewel five-ring; palni four-ring; white four ring; sinhalese five ring; striated fivering; nilgiri jewel fourring; ringlets; silver ringlet; clubbed ringlet; condamin’s ringlet; jackson’s ringlet; lamto ringlet; eyed ringlet; pale ringlet; vuattoux’s ringlet; yatta ringlet; false four-ring; malayan fivering; evans' fivering; talbot's threering; pallid fivering; confusing threering; great fivering; nilgiri four-ring; large three-ring; moore’s fivering; lesser three-ring; newar three ring; baby fivering; philippine five-ring; dubious five-ring; large branded five-ring; kashmir four-ring; dusky three-ring; great four-ring; eastern fivering; singor fivering; affected five-ring; malayan six ring; sahyadri common five-ring; himalayan common five-ring; dark-eyed fivering; striated ringlet; kumaon five-ring; african common ringlet; satpuda common five-ring; great five-ring; yaeyama four-ring; masaki's three-ring; ryukyu three-ring,"不孤矍眼蝶; 东亚矍眼蝶; 东北矍眼蝶; 中华矍眼蝶; 乱云矍眼蝶; 侧斑矍眼蝶; 前雾矍眼蝶; 前霧矍眼蝶; 华夏矍眼蝶; 卓矍眼蝶; 台湾矍眼蝶; 台灣波紋蛇目蝶; 四目矍眼蝶; 大波眼蝶; 大波矍眼蝶; 大波紋蛇目蝶; 大藏波紋蛇目蝶; 孔矍眼蝶; 密紋波眼蝶; 密纹波眼蝶; 密纹矍眼蝶; 寶島波眼蝶（大波紋蛇目蝶）; 小三矍眼蝶; 小波紋蛇目蝶; 小矍眼蝶; 山中波紋蛇目蝶; 幽矍眼蝶; 微矍眼蝶; 拟四目矍眼蝶; 擬四眼矍眼蝶; 方粼眼蝶; 普氏矍眼蝶; 李氏矍眼蝶; 条环粼眼蝶; 東亞矍眼蝶; 江崎波眼蝶; 江崎波紋蛇目蝶; 江崎矍眼蝶; 波眼蝶屬; 淡波矍眼蝶; 滇矍眼蝶; 潘多波眼蝶; 潘多矍眼蝶; 狭翅矍眼蝶; 狹翅波眼蝶; 白带波眼蝶; 白带矍眼蝶; 白帶波眼蝶; 直带粼蝶; 矍眼蝶; 矍眼蝶属; 索矍眼蝶; 臺灣小波紋蛇目蝶; 臺灣波紋蛇目蝶 (多條鄰眼蝶, 三眼蝶, 密紋瞿眼蝶, 密紋波眼蝶); 虹矍眼蝶; 融斑矍眼蝶; 辛戈矍眼蝶; 迈氏矍眼蝶; 连斑矍眼蝶; 連斑矍眼蝶; 達邦波紋蛇目蝶; 邱江粼眼蝶; 重光矍眼蝶; 阿卡矍眼蝶; 阿姹矍眼蝶; 阿矍眼蝶; 高山波紋蛇目蝶; 魔女矍眼蝶; 鹭矍眼蝶; 鹿野波紋蛇目蝶(北部亞種); 黎桑矍眼蝶",Butterflies,True,
Symydobius,shiny birch aphid; dark birch aphid,毛斑蚜属,Aphids,True,
Synegia,none,粗鋸黃尺蛾; 鋸黃尺蛾屬; 雙鋸黃尺蛾,Moths,True,
Syssphinx,honey locust moth; hubbard's silk moth; bisected honey locust moth; heiligbrodt's mesquite moth; raspa small silkmoth,none,Moths,True,
Tachytes,none,中华捷小唇泥蜂; 小唇泥蜂屬; 捷小唇泥蜂属; 条胸捷小唇泥蜂; 條胸捷小唇泥蜂,Wasps,True,
Telicota,sedge darter; greenish palm dart; pale palm dart; pale-orange darter; hainan palm dart; dark palm dart; dark palm-dart; bright-orange darter; northern large darter; small darter; large darter; southern darter; besta palm dart; common palm dart; dingy darter; linna palm dart; indian pale palm-dart; oriental dark palm-dart; dark-dusted palm dart; crested palm dart; green darter; northern sedge-darter; southern sedge-darter; southern large darter; narrow-brand darter; lower's darter; krefft's darter,埔里紅弄蝶; 夏黃斑弄蝶; 橙斑弄蝶屬; 熱帶紅弄蝶; 竹橙斑弄蝶; 竹紅弄蝶; 竹長標弄蝶; 竹长标弄蝶; 紅翅長標弄蝶; 红翅长标弄蝶; 長標弄蝶; 长标弄蝶; 长标弄蝶属; 黃紋長標弄蝶; 黄纹长标弄蝶; 黄纹长标弄蝶（台湾亚种）; 黑脈長標弄蝶; 黑脉长标弄蝶,Butterflies,True,
Tenuiphantes,common ground-weaver; zebra thin sheetweaver,none,Spiders,True,
Tephritis,burdock fly; rayed thistle fly; oxeye daisy fly; mouse-eared hawkweed fly; melancholy thistle fly; hawkbit fly,中华花翅实蝇; 花翅实蝇属,Flies,True,
Thaumastocoris,bronze bug,none,Bugs,True,
Thecabius,auricula root aphid; bead-like cottonwood gall aphid; poplar-buttercup gall aphid,none,Aphids,True,
Thrips,loquat thrips; gum tree thrips; plague thrips; new zealand flower thrips; gladiolus thrips; onion thrips; chrysanthemum thrips; onion-thrips; melon thrips; hawaiian flower thrips; introduced basswood thrips,唐菖蒲简蓟马; 大蓟马; 普通蓟马; 棕榈蓟马; 烟蓟马; 色蓟马; 蒲公英蓟马; 蓟马属; 褐翅蓟马; 黄胸蓟马; 黄蓟马; 黑毛蓟马; 黑蓟马,Thrips,True,
Toxorhynchites,elephant mosquitoes; elephant mosquito; southern african elephant mosquito; mosquito hawks; swamp elephant mosquito,克氏巨蚊; 华丽巨蚊; 台湾巨蚊; 巨蚊属; 巨蚊屬; 澳門巨蚊; 澳门巨蚊; 紫腹巨蚊; 紫色巨蚊; 肯普巨蚊; 華麗巨蚊; 金毛巨蚊; 金腹巨蚊; 黄边巨蚊,Flies,True,
Trachyrhachys,kiowa grasshopper; ash-brown grasshopper; kiowa rangeland grasshopper; finned grasshopper,none,Grasshoppers,True,
Trichochrous,alberta soft-winged flower beetle,none,Beetles,True,
Trichopterigia,none,哈洱尺蛾; 妖洱尺蛾; 暗绯洱尺蛾; 沟洱尺蛾; 洱尺蛾属; 白點洱尺蛾; 緋洱尺蛾; 緣點洱尺蛾; 红星洱尺蛾; 红点洱尺蛾; 绯洱尺蛾; 缘点洱尺蛾; 美洱尺蛾; 联洱尺蛾; 花莲洱尺蛾; 花蓮洱尺蛾; 迪洱尺蛾,Moths,True,
Typhlocyba,yellow apple leafhopper; orange-spotted leafhopper,小叶蝉属; 栎小叶蝉,Leafhoppers,True,
Typocerus,notch-tipped flower longhorn beetle; banded longhorn; zebra longhorn; banded longhorn beetle; zebra longhorn beetle; eight-spotted flower longhorn beetle; mournful long-horned beetle; thin-tailed long-horned beetle,none,Beetles,True,
Uroleucon,large knapweed aphid; crimson tansy aphid; ox-tongue aphid; red goldenrod aphid; brown ambrosia aphid; sow-thistle aphid; large thistle aphid; large fleabane daisy aphid; goldenglow aphid; large red yarrow aphid; dark-tailed thistle aphid; new england aster aphid; northern green goldenrod aphid; harebell aphid; large chicory aphid; varicolored snakeroot aphid; oriental lettuce aphid; large hawksbeard aphid; large cat's ear aphid; rufous jewelweed aphid; yellow-legged knapweed aphid; large hawkbit aphid; mountain cornflower aphid; dark-legged goldenrod aphid; dusky-tailed sunflower aphid; large hawkweed aphid; large oxtongue aphid; mouse-ear hawkweed aphid; wild lettuce aphid; large fleabane aphid; pearly everlasting aphid; goldenrod aphid; large sowthistle aphid; bronze-brown dandelion aphid; bicolored frostweed aphid; safflower aphid; northern wingstem aphid; large daisy aphids,巨指管蚜; 指管蚜属; 旋覆花指管蚜; 白尾紅蚜; 红花指管蚜; 苣荬指管蚜; 莴苣指管蚜; 轮叶沙参指管蚜; 飞蓬指管蚜; 马醉木指管蚜,Aphids,True,
Xylophanes,pluto sphinx moth; tersa sphinx; falcon sphinx moth; tersa sphinx moth; falcon sphinx; pluto sphinx; leafy sphinx,木源天蛾属,Moths,True,
Zaprochilus,australian twig-mimicking katydid,none,Grasshoppers,True,
Leucania,phragmites wainscot; unarmed wainscot; linda's wainscot; ursula wainscot; many-lined wainscot; adjutant wainscot; false wainscot; oregon wainscot; two-lined wainscot moth; heterodox wainscot moth; meadow wainscot moth; devonshire wainscot; dark-barred wainscot; shoulder-striped wainscot; the cosmopolitan; sugar cane armyworm; scirpus wainscot; two-lined wainscot; linen wainscot moth; unknown wainscot; unarmed and ursula wainscots and allies; false army worm; nightfeeding rice armyworm; obscure wainscot; cosmopolitan; bulrush wainscot; northern linen wainscot,劳氏黏虫; 玉祕夜蛾; 玉粘夜蛾; 白点粘夜蛾; 粘夜蛾属; 黏夜蛾屬,Moths,True,
Leucaspis,white totara scale; kauri scale; hartig's pine scale; kiekie scale; löw's pine scale; oystershell olive scale; small pine scale; signoret's pine scale,none,Scales,True,
Litargus,four-spotted hairy fungus beetle,none,Beetles,True,
Longalatedes,lyme grass,none,Grasshoppers,True,
Lopidea,scarlet mountain laurel mirid; margined scarlet plant bug; black locust bug; phlox plant bug; caragana plant bug; scarlet plant bugs,none,Bugs,True,
Lopinga,woodland brown,卡特链眼蝶; 多点链眼蝶; 小链眼蝶; 链眼蝶属; 黄环链眼蝶,Butterflies,True,
Lymaenon,none,三叶柄翅缨小蜂属,Wasps,True,
Macrolophus,none,灰长颈盲蝽; 长颈盲蝽属,Bugs,True,
Magusa,variable narrow-wing; orbed narrow-wing moth; orbed narrow-wing,none,Moths,True,
